Brand Name,Generic Name (Salt),Strength,Dosage Form,Company Name,MRP (INR),Pack Size,Uses,Category
Diclofenac 500 2999,Diclofenac,250 mg,Oral Suspension,Biocon Ltd,55.0,Bottle of 100 ml,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Formoterol SR 3000,Formoterol,10 mg,Gel,Biocon Ltd,19.5,Tube of 20 gm,Asthma and COPD,Respiratory
Pantoprazole 3001,Pantoprazole,20 mg,Oral Suspension,Lupin Ltd,40.0,Bottle of 200 ml,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Rabeprazole XR 3002,Rabeprazole,20 mg,Tablet,Lupin Ltd,25.0,Strip of 30,Acidity and reflux disease,Acidity Regulator
Aspirin Forte 3003,Aspirin,1000 IU,Injection,Pfizer Ltd,133.0,Vial of 10 ml,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Levofloxacin DS 3004,Levofloxacin,400 IU,Ointment,Biocon Ltd,23.0,Tube of 15 gm,Bacterial infections including pneumonia and sinusitis,Antibiotic
Cefixime Max 3005,Cefixime,100 mg,Oral Suspension,Cipla Ltd,33.0,Bottle of 200 ml,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Clopidogrel Advance 3006,Clopidogrel,500 mg,Cream,Torrent Pharmaceuticals Ltd,40.0,Tube of 10 gm,Prevention of blood clots and stroke,Blood Thinner
Amoxicillin DS 3007,Amoxicillin,200 mg,Syrup,Lupin Ltd,34.5,Bottle of 100 ml,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Risperidone 500 3008,Risperidone,150 mg,Gel,Sanofi India Ltd,27.0,Tube of 30 gm,Schizophrenia and behavioral disorders,Antipsychotic
Cetirizine 3009,Cetirizine,150 mg,Ointment,Wockhardt Ltd,27.5,Tube of 30 gm,Allergic conditions and sneezing,Antiallergic
Atorvastatin Max 3010,Atorvastatin,10 mg,Inhaler,Dr. Reddy's Laboratories Ltd,65.5,Inhaler of 120 doses,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Cetirizine 250 3011,Cetirizine,150 mg,Injection,Sanofi India Ltd,61.5,Vial of 1 ml,Allergic conditions and sneezing,Antiallergic
Amlodipine Forte 3012,Amlodipine,200 mg,Drops,Cipla Ltd,22.5,Bottle of 5 ml,High blood pressure and angina,Blood Pressure Regulator
Cetirizine 3013,Cetirizine,20 mg,Cream,Torrent Pharmaceuticals Ltd,23.0,Tube of 15 gm,Allergic conditions and sneezing,Antiallergic
Clopidogrel Max 3014,Clopidogrel,75 mg,Gel,Glenmark Pharmaceuticals Ltd,24.0,Tube of 10 gm,Prevention of blood clots and stroke,Blood Thinner
Amoxicillin Advance 3015,Amoxicillin,5 mg,Injection,Cadila Pharmaceuticals Ltd,51.0,Vial of 10 ml,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Fluconazole 500 3016,Fluconazole,250 mg,Tablet,Jubilant Pharmova Ltd,48.5,Strip of 15,Fungal infections,Antifungal
Salbutamol 3017,Salbutamol,20 mg/5 ml,Injection,Biocon Ltd,37.5,Vial of 1 ml,Asthma and bronchospasm,Respiratory
Nimesulide Plus 3018,Nimesulide,250 mg/5 ml,Gel,Mankind Pharma Ltd,34.0,Tube of 15 gm,Pain and inflammation,General Use
Cefixime 3019,Cefixime,10 mg,Injection,Abbott India Ltd,38.0,Vial of 5 ml,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Azithromycin Advance 3020,Azithromycin,20 mg,Syrup,Jubilant Pharmova Ltd,38.5,Bottle of 200 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Folic 500 3021,Folic Acid,20 mg,Ointment,Cadila Pharmaceuticals Ltd,21.0,Tube of 15 gm,Folic acid deficiency and pregnancy support,Supplement
Cetirizine DS 3022,Cetirizine,50 mg,Oral Suspension,Ipca Laboratories Ltd,46.0,Bottle of 100 ml,Allergic conditions and sneezing,Antiallergic
Paracetamol 500 3023,Paracetamol,100 mg,Syrup,Torrent Pharmaceuticals Ltd,37.5,Bottle of 60 ml,Fever and mild to moderate pain relief,Painkiller
Montelukast 3024,Montelukast,100 mg,Oral Suspension,Zydus Lifesciences Ltd,30.5,Bottle of 150 ml,Asthma and allergic rhinitis,Respiratory
Vitamin Plus 3025,Vitamin D3,250 mg/5 ml,Gel,Dr. Reddy's Laboratories Ltd,40.0,Tube of 30 gm,Vitamin D deficiency and bone health,Supplement
Insulin 250 3026,Insulin Glargine,100 mg,Ointment,Cadila Pharmaceuticals Ltd,18.0,Tube of 30 gm,Long-acting insulin for diabetes mellitus,Antidiabetic
B-complex Forte 3027,B-complex,200 mg,Inhaler,Abbott India Ltd,75.0,Inhaler of 60 doses,Vitamin B deficiency and weakness,Supplement
Levocetirizine 3028,Levocetirizine,200 mg,Injection,Alkem Laboratories Ltd,34.0,Vial of 2 ml,Allergic rhinitis and urticaria,Antiallergic
Amlodipine DS 3029,Amlodipine,40 mg,Inhaler,Wockhardt Ltd,41.5,Inhaler of 100 doses,High blood pressure and angina,Blood Pressure Regulator
Metoprolol SR 3030,Metoprolol,250 mg,Syrup,Torrent Pharmaceuticals Ltd,45.0,Bottle of 60 ml,"Hypertension, angina and heart failure",Blood Pressure Regulator
Budesonide DS 3031,Budesonide,500 mg,Tablet,Cadila Pharmaceuticals Ltd,87.5,Strip of 15,Asthma and inflammatory bowel disease,Respiratory
Atenolol XR 3032,Atenolol,200 mg,Tablet,Cipla Ltd,26.5,Strip of 30,High blood pressure and chest pain,Blood Pressure Regulator
Telmisartan XR 3033,Telmisartan,250 mg/5 ml,Drops,Lupin Ltd,62.0,Bottle of 15 ml,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Gliclazide Plus 3034,Gliclazide,40 mg,Ointment,Alembic Pharmaceuticals Ltd,19.5,Tube of 15 gm,Type 2 diabetes mellitus,Antidiabetic
Telmisartan SR 3035,Telmisartan,20 mg/5 ml,Tablet,Pfizer Ltd,14.5,Strip of 30,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Diclofenac SR 3036,Diclofenac,50 mg,Gel,Abbott India Ltd,34.5,Tube of 10 gm,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Levocetirizine 3037,Levocetirizine,150 mg,Syrup,Micro Labs Ltd,52.5,Bottle of 150 ml,Allergic rhinitis and urticaria,Antiallergic
Ciprofloxacin SR 3038,Ciprofloxacin,75 mg,Cream,Intas Pharmaceuticals Ltd,31.5,Tube of 15 gm,Urinary tract and gastrointestinal infections,Antibiotic
Losartan XR 3039,Losartan,5 mg,Gel,Alkem Laboratories Ltd,18.5,Tube of 10 gm,High blood pressure and heart failure,Blood Pressure Regulator
Levocetirizine Plus 3040,Levocetirizine,50 mg,Capsule,Dr. Reddy's Laboratories Ltd,44.5,Strip of 10,Allergic rhinitis and urticaria,Antiallergic
Thyroxine Forte 3041,Thyroxine,1000 IU,Gel,Cipla Ltd,61.5,Tube of 30 gm,Hypothyroidism,Hormone Regulator
Lorazepam XR 3042,Lorazepam,250 mg,Inhaler,Dr. Reddy's Laboratories Ltd,145.5,Inhaler of 200 doses,Anxiety and insomnia,Anxiolytic
Atenolol DS 3043,Atenolol,5 mg,Tablet,Micro Labs Ltd,17.0,Strip of 20,High blood pressure and chest pain,Blood Pressure Regulator
Fluoxetine 500 3044,Fluoxetine,20 mg,Ointment,Micro Labs Ltd,21.0,Tube of 10 gm,"Depression, OCD and bulimia nervosa",Antidepressant
Gliclazide DS 3045,Gliclazide,20 mg,Capsule,Glenmark Pharmaceuticals Ltd,28.0,Strip of 30,Type 2 diabetes mellitus,Antidiabetic
Lorazepam SR 3046,Lorazepam,5 mg,Injection,Zydus Lifesciences Ltd,52.5,Vial of 2 ml,Anxiety and insomnia,Anxiolytic
Amoxicillin DS 3047,Amoxicillin,75 mg,Ointment,Torrent Pharmaceuticals Ltd,17.5,Tube of 15 gm,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Ciprofloxacin 250 3048,Ciprofloxacin,40 mg,Ointment,Biocon Ltd,22.5,Tube of 15 gm,Urinary tract and gastrointestinal infections,Antibiotic
Cetirizine Max 3049,Cetirizine,10 mg,Tablet,Alkem Laboratories Ltd,16.0,Strip of 30,Allergic conditions and sneezing,Antiallergic
Amoxicillin XR 3050,Amoxicillin,1000 IU,Injection,Ipca Laboratories Ltd,166.5,Vial of 5 ml,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Paracetamol DS 3051,Paracetamol,250 mg/5 ml,Injection,Sun Pharmaceutical Industries Ltd,61.0,Vial of 5 ml,Fever and mild to moderate pain relief,Painkiller
B-complex Plus 3052,B-complex,1000 IU,Cream,Pfizer Ltd,57.5,Tube of 20 gm,Vitamin B deficiency and weakness,Supplement
Cetirizine Advance 3053,Cetirizine,400 IU,Gel,Intas Pharmaceuticals Ltd,20.5,Tube of 15 gm,Allergic conditions and sneezing,Antiallergic
Folic Advance 3054,Folic Acid,10 mg,Cream,Glenmark Pharmaceuticals Ltd,21.0,Tube of 30 gm,Folic acid deficiency and pregnancy support,Supplement
Amlodipine XR 3055,Amlodipine,20 mg,Injection,Cadila Pharmaceuticals Ltd,53.5,Vial of 2 ml,High blood pressure and angina,Blood Pressure Regulator
Ibuprofen 250 3056,Ibuprofen,50 mg,Ointment,Sun Pharmaceutical Industries Ltd,17.0,Tube of 30 gm,"Pain, inflammation and fever",Painkiller
Ofloxacin Advance 3057,Ofloxacin,500 mg,Drops,Torrent Pharmaceuticals Ltd,55.0,Bottle of 15 ml,Bacterial infections of urinary and respiratory tract,Antibiotic
Levofloxacin Advance 3058,Levofloxacin,20 mg,Inhaler,Torrent Pharmaceuticals Ltd,44.5,Inhaler of 60 doses,Bacterial infections including pneumonia and sinusitis,Antibiotic
Aspirin DS 3059,Aspirin,10 mg,Cream,Cipla Ltd,19.0,Tube of 20 gm,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Alprazolam 250 3060,Alprazolam,20 mg/5 ml,Inhaler,Zydus Lifesciences Ltd,42.0,Inhaler of 100 doses,Anxiety and panic disorders,Anxiolytic
Nimesulide Max 3061,Nimesulide,20 mg,Cream,Micro Labs Ltd,20.0,Tube of 15 gm,Pain and inflammation,General Use
Cefixime 500 3062,Cefixime,20 mg/5 ml,Cream,Dr. Reddy's Laboratories Ltd,20.0,Tube of 10 gm,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Nimesulide Forte 3063,Nimesulide,150 mg,Drops,Lupin Ltd,30.0,Bottle of 5 ml,Pain and inflammation,General Use
Amlodipine Max 3064,Amlodipine,250 mg,Drops,Cipla Ltd,58.5,Bottle of 5 ml,High blood pressure and angina,Blood Pressure Regulator
Olanzapine DS 3065,Olanzapine,500 mg,Syrup,Dr. Reddy's Laboratories Ltd,109.0,Bottle of 60 ml,Schizophrenia and bipolar disorder,Antipsychotic
Levocetirizine SR 3066,Levocetirizine,200 mg,Capsule,Mankind Pharma Ltd,23.5,Strip of 10,Allergic rhinitis and urticaria,Antiallergic
Olanzapine SR 3067,Olanzapine,50 mg,Ointment,Alembic Pharmaceuticals Ltd,24.5,Tube of 30 gm,Schizophrenia and bipolar disorder,Antipsychotic
Folic Advance 3068,Folic Acid,100 mg,Injection,Lupin Ltd,53.0,Vial of 5 ml,Folic acid deficiency and pregnancy support,Supplement
Telmisartan Max 3069,Telmisartan,250 mg,Drops,Sanofi India Ltd,79.5,Bottle of 5 ml,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Sertraline DS 3070,Sertraline,250 mg,Tablet,Sanofi India Ltd,43.0,Strip of 30,Depression and anxiety disorders,Antidepressant
Iron 500 3071,Iron Fumarate,400 IU,Drops,Zydus Lifesciences Ltd,28.0,Bottle of 15 ml,Iron deficiency anemia,Supplement
Ciprofloxacin Max 3072,Ciprofloxacin,75 mg,Cream,Sanofi India Ltd,32.5,Tube of 10 gm,Urinary tract and gastrointestinal infections,Antibiotic
Formoterol Max 3073,Formoterol,50 mg,Cream,Alkem Laboratories Ltd,30.0,Tube of 10 gm,Asthma and COPD,Respiratory
B-complex DS 3074,B-complex,100 mg/5 ml,Syrup,Torrent Pharmaceuticals Ltd,25.5,Bottle of 100 ml,Vitamin B deficiency and weakness,Supplement
Amoxicillin Max 3075,Amoxicillin,500 mg,Injection,Cipla Ltd,114.5,Vial of 5 ml,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Fluconazole XR 3076,Fluconazole,650 mg,Oral Suspension,Mankind Pharma Ltd,115.5,Bottle of 60 ml,Fungal infections,Antifungal
Atorvastatin 250 3077,Atorvastatin,250 mg/5 ml,Gel,Torrent Pharmaceuticals Ltd,37.5,Tube of 20 gm,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Salbutamol SR 3078,Salbutamol,650 mg,Drops,Glenmark Pharmaceuticals Ltd,97.5,Bottle of 5 ml,Asthma and bronchospasm,Respiratory
Lorazepam Forte 3079,Lorazepam,100 mg,Drops,Cipla Ltd,55.5,Bottle of 10 ml,Anxiety and insomnia,Anxiolytic
Vitamin 3080,Vitamin D3,20 mg,Tablet,Sun Pharmaceutical Industries Ltd,10.0,Strip of 15,Vitamin D deficiency and bone health,Supplement
Lorazepam SR 3081,Lorazepam,150 mg,Syrup,Alkem Laboratories Ltd,37.5,Bottle of 60 ml,Anxiety and insomnia,Anxiolytic
Paracetamol DS 3082,Paracetamol,250 mg,Ointment,Abbott India Ltd,28.0,Tube of 15 gm,Fever and mild to moderate pain relief,Painkiller
Clotrimazole DS 3083,Clotrimazole,200 mg,Tablet,Jubilant Pharmova Ltd,28.5,Strip of 15,Fungal skin infections,Antifungal
Tramadol XR 3084,Tramadol,250 mg,Inhaler,Cipla Ltd,100.0,Inhaler of 200 doses,Moderate to severe pain,Painkiller
Ibuprofen Forte 3085,Ibuprofen,100 mg/5 ml,Gel,Zydus Lifesciences Ltd,19.0,Tube of 15 gm,"Pain, inflammation and fever",Painkiller
Glimipiride Forte 3086,Glimipiride,20 mg/5 ml,Inhaler,Alkem Laboratories Ltd,70.5,Inhaler of 200 doses,Type 2 diabetes mellitus,Antidiabetic
Lorazepam Plus 3087,Lorazepam,1000 IU,Capsule,Abbott India Ltd,83.0,Strip of 30,Anxiety and insomnia,Anxiolytic
Levocetirizine Forte 3088,Levocetirizine,250 mg/5 ml,Cream,Lupin Ltd,33.0,Tube of 20 gm,Allergic rhinitis and urticaria,Antiallergic
Pantoprazole DS 3089,Pantoprazole,500 mg,Tablet,Alkem Laboratories Ltd,70.0,Strip of 15,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Cetirizine SR 3090,Cetirizine,50 mg,Oral Suspension,Lupin Ltd,54.5,Bottle of 100 ml,Allergic conditions and sneezing,Antiallergic
Ofloxacin Plus 3091,Ofloxacin,250 mg/5 ml,Syrup,Micro Labs Ltd,56.5,Bottle of 150 ml,Bacterial infections of urinary and respiratory tract,Antibiotic
Olanzapine XR 3092,Olanzapine,20 mg/5 ml,Tablet,Wockhardt Ltd,17.5,Strip of 10,Schizophrenia and bipolar disorder,Antipsychotic
Calcium SR 3093,Calcium Carbonate,20 mg,Ointment,Sun Pharmaceutical Industries Ltd,18.0,Tube of 20 gm,Calcium deficiency and bone disorders,Supplement
Losartan Advance 3094,Losartan,50 mg,Capsule,Cadila Pharmaceuticals Ltd,28.5,Strip of 30,High blood pressure and heart failure,Blood Pressure Regulator
Omeprazole 500 3095,Omeprazole,1000 IU,Gel,Lupin Ltd,73.5,Tube of 30 gm,"Acidity, peptic ulcer and GERD",Acidity Regulator
Budesonide Max 3096,Budesonide,5 mg,Drops,Jubilant Pharmova Ltd,23.5,Bottle of 10 ml,Asthma and inflammatory bowel disease,Respiratory
Levocetirizine 250 3097,Levocetirizine,50 mg,Tablet,Sanofi India Ltd,26.0,Strip of 30,Allergic rhinitis and urticaria,Antiallergic
Fluconazole 500 3098,Fluconazole,20 mg,Cream,Micro Labs Ltd,18.5,Tube of 10 gm,Fungal infections,Antifungal
Rabeprazole Max 3099,Rabeprazole,250 mg/5 ml,Ointment,Alkem Laboratories Ltd,38.5,Tube of 15 gm,Acidity and reflux disease,Acidity Regulator
Doxycycline Max 3100,Doxycycline,5 mg,Ointment,Micro Labs Ltd,20.0,Tube of 10 gm,Various bacterial infections including acne and respiratory infections,Antibiotic
Alprazolam Advance 3101,Alprazolam,75 mg,Gel,Torrent Pharmaceuticals Ltd,34.5,Tube of 10 gm,Anxiety and panic disorders,Anxiolytic
Iron Advance 3102,Iron Fumarate,400 IU,Injection,Torrent Pharmaceuticals Ltd,50.5,Vial of 5 ml,Iron deficiency anemia,Supplement
Metformin 3103,Metformin,20 mg/5 ml,Gel,Wockhardt Ltd,18.5,Tube of 30 gm,Type 2 diabetes mellitus,Antidiabetic
Clopidogrel 500 3104,Clopidogrel,40 mg,Gel,Jubilant Pharmova Ltd,20.5,Tube of 20 gm,Prevention of blood clots and stroke,Blood Thinner
Folic Forte 3105,Folic Acid,500 mg,Injection,Ipca Laboratories Ltd,210.5,Vial of 5 ml,Folic acid deficiency and pregnancy support,Supplement
Omeprazole Max 3106,Omeprazole,250 mg/5 ml,Cream,Zydus Lifesciences Ltd,45.0,Tube of 20 gm,"Acidity, peptic ulcer and GERD",Acidity Regulator
Montelukast Max 3107,Montelukast,650 mg,Cream,Sanofi India Ltd,65.0,Tube of 10 gm,Asthma and allergic rhinitis,Respiratory
Telmisartan Advance 3108,Telmisartan,150 mg,Injection,Sun Pharmaceutical Industries Ltd,57.5,Vial of 10 ml,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Paracetamol 3109,Paracetamol,20 mg,Ointment,Lupin Ltd,12.5,Tube of 15 gm,Fever and mild to moderate pain relief,Painkiller
Insulin Max 3110,Insulin Glargine,20 mg/5 ml,Tablet,Sanofi India Ltd,21.0,Strip of 10,Long-acting insulin for diabetes mellitus,Antidiabetic
Amoxicillin SR 3111,Amoxicillin,20 mg,Drops,Intas Pharmaceuticals Ltd,36.0,Bottle of 10 ml,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Thyroxine SR 3112,Thyroxine,5 mg,Capsule,Sun Pharmaceutical Industries Ltd,27.5,Strip of 15,Hypothyroidism,Hormone Regulator
Tramadol Max 3113,Tramadol,150 mg,Tablet,Wockhardt Ltd,35.0,Strip of 15,Moderate to severe pain,Painkiller
B-complex Plus 3114,B-complex,400 IU,Inhaler,Intas Pharmaceuticals Ltd,57.5,Inhaler of 200 doses,Vitamin B deficiency and weakness,Supplement
Losartan 500 3115,Losartan,50 mg,Tablet,Cadila Pharmaceuticals Ltd,42.5,Strip of 10,High blood pressure and heart failure,Blood Pressure Regulator
Paracetamol 250 3116,Paracetamol,250 mg,Oral Suspension,Pfizer Ltd,68.0,Bottle of 200 ml,Fever and mild to moderate pain relief,Painkiller
Pantoprazole 3117,Pantoprazole,200 mg,Inhaler,Alkem Laboratories Ltd,75.5,Inhaler of 120 doses,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Ciprofloxacin Max 3118,Ciprofloxacin,650 mg,Injection,Jubilant Pharmova Ltd,205.0,Vial of 2 ml,Urinary tract and gastrointestinal infections,Antibiotic
Iron XR 3119,Iron Fumarate,75 mg,Drops,Alembic Pharmaceuticals Ltd,44.0,Bottle of 15 ml,Iron deficiency anemia,Supplement
Alprazolam SR 3120,Alprazolam,100 mg,Gel,Lupin Ltd,25.5,Tube of 30 gm,Anxiety and panic disorders,Anxiolytic
Nimesulide Forte 3121,Nimesulide,100 mg,Tablet,Lupin Ltd,28.0,Strip of 10,Pain and inflammation,General Use
Azithromycin Max 3122,Azithromycin,40 mg,Oral Suspension,Mankind Pharma Ltd,38.5,Bottle of 150 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Rabeprazole XR 3123,Rabeprazole,250 mg,Inhaler,Sanofi India Ltd,87.5,Inhaler of 120 doses,Acidity and reflux disease,Acidity Regulator
Calcium DS 3124,Calcium Carbonate,20 mg/5 ml,Drops,Pfizer Ltd,22.5,Bottle of 5 ml,Calcium deficiency and bone disorders,Supplement
Ciprofloxacin 500 3125,Ciprofloxacin,50 mg,Syrup,Lupin Ltd,56.5,Bottle of 200 ml,Urinary tract and gastrointestinal infections,Antibiotic
Insulin DS 3126,Insulin Aspart,150 mg,Syrup,Alembic Pharmaceuticals Ltd,29.5,Bottle of 100 ml,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Omeprazole Forte 3127,Omeprazole,100 mg,Inhaler,Abbott India Ltd,61.0,Inhaler of 120 doses,"Acidity, peptic ulcer and GERD",Acidity Regulator
Iron Max 3128,Iron Fumarate,40 mg,Tablet,Wockhardt Ltd,19.5,Strip of 30,Iron deficiency anemia,Supplement
Clopidogrel 500 3129,Clopidogrel,75 mg,Drops,Abbott India Ltd,45.0,Bottle of 15 ml,Prevention of blood clots and stroke,Blood Thinner
Calcium Forte 3130,Calcium Carbonate,20 mg,Ointment,Lupin Ltd,18.0,Tube of 20 gm,Calcium deficiency and bone disorders,Supplement
Paracetamol Max 3131,Paracetamol,500 mg,Gel,Torrent Pharmaceuticals Ltd,45.0,Tube of 20 gm,Fever and mild to moderate pain relief,Painkiller
Montelukast 3132,Montelukast,20 mg,Capsule,Micro Labs Ltd,10.0,Strip of 15,Asthma and allergic rhinitis,Respiratory
Folic Plus 3133,Folic Acid,20 mg,Syrup,Dr. Reddy's Laboratories Ltd,38.0,Bottle of 200 ml,Folic acid deficiency and pregnancy support,Supplement
Losartan DS 3134,Losartan,250 mg/5 ml,Syrup,Wockhardt Ltd,51.5,Bottle of 150 ml,High blood pressure and heart failure,Blood Pressure Regulator
Fluconazole 500 3135,Fluconazole,5 mg,Drops,Micro Labs Ltd,29.0,Bottle of 15 ml,Fungal infections,Antifungal
Sertraline DS 3136,Sertraline,150 mg,Ointment,Glenmark Pharmaceuticals Ltd,28.0,Tube of 20 gm,Depression and anxiety disorders,Antidepressant
Ibuprofen Plus 3137,Ibuprofen,50 mg,Ointment,Abbott India Ltd,24.0,Tube of 20 gm,"Pain, inflammation and fever",Painkiller
Gliclazide Plus 3138,Gliclazide,500 mg,Ointment,Cadila Pharmaceuticals Ltd,32.5,Tube of 10 gm,Type 2 diabetes mellitus,Antidiabetic
Thyroxine Advance 3139,Thyroxine,200 mg,Tablet,Mankind Pharma Ltd,12.0,Strip of 30,Hypothyroidism,Hormone Regulator
Insulin Forte 3140,Insulin Glargine,40 mg,Injection,Wockhardt Ltd,68.0,Vial of 2 ml,Long-acting insulin for diabetes mellitus,Antidiabetic
Ofloxacin SR 3141,Ofloxacin,75 mg,Syrup,Cadila Pharmaceuticals Ltd,50.0,Bottle of 150 ml,Bacterial infections of urinary and respiratory tract,Antibiotic
Omeprazole Advance 3142,Omeprazole,650 mg,Gel,Pfizer Ltd,43.5,Tube of 30 gm,"Acidity, peptic ulcer and GERD",Acidity Regulator
Cetirizine Forte 3143,Cetirizine,75 mg,Injection,Micro Labs Ltd,47.5,Vial of 2 ml,Allergic conditions and sneezing,Antiallergic
Gliclazide Forte 3144,Gliclazide,100 mg,Drops,Zydus Lifesciences Ltd,27.0,Bottle of 5 ml,Type 2 diabetes mellitus,Antidiabetic
Vitamin Forte 3145,Vitamin D3,500 mg,Capsule,Alkem Laboratories Ltd,79.5,Strip of 15,Vitamin D deficiency and bone health,Supplement
Calcium SR 3146,Calcium Carbonate,1000 IU,Tablet,Wockhardt Ltd,62.0,Strip of 15,Calcium deficiency and bone disorders,Supplement
Clotrimazole XR 3147,Clotrimazole,200 mg,Capsule,Glenmark Pharmaceuticals Ltd,21.0,Strip of 15,Fungal skin infections,Antifungal
Paracetamol 500 3148,Paracetamol,100 mg/5 ml,Injection,Glenmark Pharmaceuticals Ltd,96.5,Vial of 5 ml,Fever and mild to moderate pain relief,Painkiller
Levocetirizine 250 3149,Levocetirizine,250 mg/5 ml,Capsule,Mankind Pharma Ltd,33.0,Strip of 15,Allergic rhinitis and urticaria,Antiallergic
Aspirin 3150,Aspirin,400 IU,Oral Suspension,Ipca Laboratories Ltd,17.5,Bottle of 60 ml,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Ofloxacin Max 3151,Ofloxacin,400 IU,Cream,Alkem Laboratories Ltd,14.0,Tube of 30 gm,Bacterial infections of urinary and respiratory tract,Antibiotic
Gliclazide 250 3152,Gliclazide,400 IU,Capsule,Cadila Pharmaceuticals Ltd,28.5,Strip of 30,Type 2 diabetes mellitus,Antidiabetic
Budesonide Forte 3153,Budesonide,75 mg,Capsule,Zydus Lifesciences Ltd,39.5,Strip of 15,Asthma and inflammatory bowel disease,Respiratory
Budesonide 250 3154,Budesonide,40 mg,Inhaler,Sanofi India Ltd,43.0,Inhaler of 120 doses,Asthma and inflammatory bowel disease,Respiratory
Azithromycin Plus 3155,Azithromycin,100 mg,Inhaler,Cipla Ltd,48.5,Inhaler of 120 doses,Bacterial infections including respiratory and skin infections,Antibiotic
Insulin Forte 3156,Insulin Aspart,100 mg,Oral Suspension,Jubilant Pharmova Ltd,53.5,Bottle of 150 ml,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Ibuprofen Advance 3157,Ibuprofen,500 mg,Capsule,Jubilant Pharmova Ltd,54.5,Strip of 20,"Pain, inflammation and fever",Painkiller
Atenolol Max 3158,Atenolol,75 mg,Syrup,Sanofi India Ltd,50.0,Bottle of 150 ml,High blood pressure and chest pain,Blood Pressure Regulator
B-complex 500 3159,B-complex,250 mg/5 ml,Inhaler,Biocon Ltd,104.0,Inhaler of 120 doses,Vitamin B deficiency and weakness,Supplement
Gliclazide DS 3160,Gliclazide,200 mg,Ointment,Ipca Laboratories Ltd,24.0,Tube of 10 gm,Type 2 diabetes mellitus,Antidiabetic
Budesonide Plus 3161,Budesonide,20 mg,Tablet,Torrent Pharmaceuticals Ltd,19.0,Strip of 30,Asthma and inflammatory bowel disease,Respiratory
Risperidone Max 3162,Risperidone,500 mg,Drops,Torrent Pharmaceuticals Ltd,84.5,Bottle of 5 ml,Schizophrenia and behavioral disorders,Antipsychotic
Hydroxychloroquine XR 3163,Hydroxychloroquine,250 mg/5 ml,Inhaler,Dr. Reddy's Laboratories Ltd,61.5,Inhaler of 120 doses,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Alprazolam Max 3164,Alprazolam,1000 IU,Inhaler,Mankind Pharma Ltd,229.0,Inhaler of 60 doses,Anxiety and panic disorders,Anxiolytic
Metoprolol DS 3165,Metoprolol,100 mg/5 ml,Oral Suspension,Wockhardt Ltd,42.0,Bottle of 200 ml,"Hypertension, angina and heart failure",Blood Pressure Regulator
Thyroxine Forte 3166,Thyroxine,500 mg,Capsule,Glenmark Pharmaceuticals Ltd,68.5,Strip of 15,Hypothyroidism,Hormone Regulator
Thyroxine SR 3167,Thyroxine,150 mg,Drops,Alembic Pharmaceuticals Ltd,27.0,Bottle of 5 ml,Hypothyroidism,Hormone Regulator
Salbutamol Plus 3168,Salbutamol,400 IU,Oral Suspension,Jubilant Pharmova Ltd,22.0,Bottle of 150 ml,Asthma and bronchospasm,Respiratory
Salbutamol Advance 3169,Salbutamol,100 mg,Tablet,Micro Labs Ltd,34.0,Strip of 15,Asthma and bronchospasm,Respiratory
Pantoprazole 3170,Pantoprazole,250 mg/5 ml,Gel,Biocon Ltd,31.0,Tube of 15 gm,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Clotrimazole Forte 3171,Clotrimazole,100 mg/5 ml,Cream,Biocon Ltd,20.0,Tube of 20 gm,Fungal skin infections,Antifungal
Atorvastatin 3172,Atorvastatin,1000 IU,Ointment,Jubilant Pharmova Ltd,64.0,Tube of 30 gm,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
